 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1541,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09978-08358,2.052,2.535,0.630,1.714,3.333,4.905
1542,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09983-05556,0.410,1.333,0.000,1.333,1.333,2.562
1543,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09988-04038,53.751,2.433,0.474,1.438,3.882,26.555
1544,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10004-05507,12.720,2.665,0.506,2.000,3.727,12.902
1545,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10042-06765,9.027,2.000,0.394,1.462,2.700,14.559
1546,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10046-08846,24.208,3.407,0.507,2.333,4.700,18.182
1547,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10054-06761,0.410,1.040,0.000,1.040,1.040,2.562
1548,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10058-06760,0.821,1.171,0.065,1.125,1.217,3.843
1549,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10051-06760,58.264,1.439,0.407,0.828,3.100,76.818
1550,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10059-07650,19.285,2.885,0.571,2.000,4.273,16.370
1551,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10094-04212,20.926,2.412,0.437,1.200,3.182,16.526
1552,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10109-05658,34.877,2.772,0.911,1.182,4.895,21.650
1553,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10117-07347,32.825,2.221,0.301,1.500,3.000,20.900
1554,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10142-07722,13.540,1.944,0.300,1.500,2.500,13.433
1555,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10163-05388,0.821,0.850,0.079,0.794,0.906,3.624
1556,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10162-06702,8.617,2.079,0.378,1.304,2.650,10.340
1557,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10190-05330,17.643,1.940,0.253,1.444,2.529,15.464
1558,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10191-07753,27.081,3.068,0.705,2.067,5.000,19.088
1559,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10194-07532,10.258,2.888,0.477,2.000,3.818,12.152
1560,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10219-08659,13.951,2.626,0.429,2.050,3.692,13.277
1561,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10224-06389,36.518,1.972,0.586,0.914,3.250,27.085
1562,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10241-04336,35.287,2.733,0.572,1.800,4.588,21.650
1563,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10270-07834,36.108,1.736,0.277,1.205,2.500,22.025
1564,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10292-07033,27.081,1.997,0.361,1.259,2.688,19.088
1565,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10326-06743,28.312,1.189,0.253,0.765,2.053,20.369
1566,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10329-05711,71.805,2.019,0.425,1.292,3.222,31.835
1567,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10349-04129,30.363,2.379,0.415,1.714,3.400,19.838
1568,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10357-07029,17.643,1.346,0.417,0.725,2.214,20.214
1569,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10362-08606,38.159,2.978,0.997,1.125,5.667,23.087
