 ,Label,Area,Mean,StdDev,Min,Max,Perim.
388,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08751-02741,2.462,3.009,0.364,2.385,3.400,6.716
389,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08759-03749,1.641,1.364,0.212,1.138,1.565,4.905
390,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08753-02528,70.163,1.843,0.304,0.892,2.512,30.929
391,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08763-04968,45.955,2.296,0.475,1.421,4.071,25.118
392,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08852-05127,16.002,3.384,0.565,2.333,4.625,14.559
393,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08868-04886,10.668,2.583,0.374,1.857,3.200,11.621
394,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08908-04313,12.720,3.487,0.563,2.308,4.800,12.372
395,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08919-07998,0.410,2.909,0.000,2.909,2.909,2.562
396,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08915-05038,54.161,2.561,0.596,1.300,4.211,26.930
397,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08919-08069,11.078,3.289,0.613,2.250,4.556,12.527
398,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08922-07996,6.975,2.381,0.377,1.800,2.923,12.527
399,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08938-05039,8.206,2.073,0.269,1.714,2.909,10.715
400,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08953-05530,31.594,2.009,0.329,1.273,2.789,20.744
401,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08966-05287,2.872,3.311,0.736,2.267,4.500,6.716
402,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08973-05218,0.821,1.767,0.064,1.722,1.812,3.843
403,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08973-05224,0.821,1.578,0.031,1.556,1.600,3.624
404,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08976-02448,14.361,2.833,0.430,1.692,3.778,13.277
405,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08983-09775,26.670,3.055,0.472,1.867,4.067,18.182
406,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08986-04972,12.309,2.790,0.427,1.688,3.600,13.277
407,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08990-08525,0.410,2.385,0.000,2.385,2.385,2.562
408,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08991-05716,9.437,2.611,0.672,1.412,4.769,11.621
409,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09015-05940,41.852,2.714,0.722,1.414,4.306,23.462
410,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09018-04921,37.749,3.572,1.064,1.429,6.750,22.556
411,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09024-03057,1.231,2.908,0.669,2.300,3.625,4.905
412,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09031-07004,5.744,1.266,0.146,1.000,1.500,7.998
413,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09035-04729,38.980,2.806,0.579,1.750,4.167,24.368
414,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09054-04468,35.697,1.806,0.348,1.027,2.600,22.711
415,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09081-05372,0.410,2.133,0.000,2.133,2.133,2.562
416,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09086-05372,6.155,0.926,0.150,0.581,1.091,8.903
417,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09094-05699,0.410,2.056,0.000,2.056,2.056,2.562
