 ,Label,Area,Mean,StdDev,Min,Max,Perim.
7410,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00077-04915,0.410,2.500,0.000,2.500,2.500,2.562
7411,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00392-05831,23.388,1.302,0.253,0.810,1.842,18.713
7412,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00401-08398,33.235,1.753,0.361,0.867,2.667,21.806
7413,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00454-04261,16.823,0.807,0.253,0.525,1.636,15.995
7414,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00485-05128,73.446,1.025,0.136,0.683,1.333,31.835
7415,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00569-04794,2.872,1.231,0.181,1.000,1.471,5.811
7416,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00654-08053,18.874,1.501,0.289,0.947,2.071,15.620
7417,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00685-08319,61.547,1.690,0.377,0.882,2.682,29.648
7418,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00787-08811,0.410,1.222,0.000,1.222,1.222,2.562
7419,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00789-05947,51.699,1.080,0.184,0.571,1.556,26.930
7420,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00791-08803,98.885,1.529,0.234,0.950,2.438,38.926
7421,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00828-08143,7.386,2.081,0.401,1.500,2.750,9.434
7422,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00957-09633,13.951,1.484,0.319,1.000,2.200,13.653
7423,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01051-09550,24.208,2.436,0.469,1.600,3.727,18.182
7424,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01314-09739,66.471,2.273,0.431,1.450,3.737,30.023
7425,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01355-02539,29.953,1.066,0.127,0.771,1.450,20.369
7426,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01378-09575,20.516,1.071,0.131,0.875,1.478,21.961
7427,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01427-09718,38.980,1.775,0.343,1.050,2.481,22.931
